nameWithOwner,createdAt,stargazerCount,commitCount
amitshekhariitbhu/Fast-Android-Networking,2016-03-21T18:35:44Z,5649,1
auth0/java-jwt,2014-03-07T15:06:11Z,5647,22
daimajia/AndroidImageSlider,2014-06-02T06:04:17Z,5639,0
PojavLauncherTeam/PojavLauncher,2020-03-11T03:22:54Z,5632,1103
journeyapps/zxing-android-embedded,2012-11-28T16:36:39Z,5630,0
amlcurran/ShowcaseView,2012-08-14T19:07:36Z,5596,0
hanks-zyh/HTextView,2015-12-19T16:34:59Z,5590,0
hongyangAndroid/FlowLayout,2015-08-28T09:32:31Z,5586,0
alipay/SoloPi,2019-03-14T15:32:49Z,5573,0
nhaarman/ListViewAnimations,2013-03-19T11:59:23Z,5570,0
knightliao/disconf,2014-05-30T09:39:27Z,5567,0
yanzhenjie/SwipeRecyclerView,2016-08-03T15:43:34Z,5559,0
crazycodeboy/react-native-splash-screen,2016-09-14T10:43:55Z,5557,0
wasabeef/Blurry,2015-07-23T14:12:08Z,5540,0
ffay/lanproxy,2016-11-20T08:12:10Z,5517,0
Nepxion/Discovery,2018-06-21T16:16:49Z,5512,35
Col-E/Recaf,2017-07-27T06:01:10Z,5512,7
vavr-io/vavr,2014-01-30T14:07:25Z,5508,10
sockeqwe/mosby,2015-03-25T00:59:19Z,5494,0
obsidiandynamics/kafdrop,2019-05-27T08:46:56Z,5146,105
CoderLeixiaoshuai/java-eight-part,2020-10-16T16:27:04Z,5136,0
opengoofy/hippo4j,2021-06-16T02:59:48Z,5134,300
careercup/ctci,2013-03-21T23:01:01Z,5120,0
razerdp/BasePopup,2016-01-15T03:31:07Z,5112,2
zfdang/Android-Touch-Helper,2020-10-16T00:58:41Z,5106,10
apache/pinot,2014-05-19T23:27:48Z,5098,1601
apache/hbase,2014-05-23T07:00:07Z,5095,513
hustcc/JS-Sorting-Algorithm,2017-01-19T11:36:21Z,5093,0
CodingDocs/springboot-guide,2018-11-28T01:05:07Z,5050,0
spring-projects/spring-data-examples,2014-01-30T15:42:43Z,5049,30
xuchengsheng/spring-reading,2023-09-15T06:42:44Z,5041,374
DerekYRC/mini-spring,2020-11-17T11:59:18Z,5035,11
apache/hudi,2016-12-14T15:53:41Z,5021,1550
TeamAmaze/AmazeFileManager,2014-07-14T19:47:53Z,5018,488
orhanobut/dialogplus,2014-12-12T09:24:44Z,5003,0
alibaba/UltraViewPager,2017-03-29T13:31:53Z,5001,0
spring-attic/spring-mvc-showcase,2011-06-03T15:36:55Z,4998,0
yipianfengye/android-zxingLibrary,2016-07-26T08:00:18Z,4996,0
frogermcs/InstaMaterial,2014-11-10T18:56:49Z,4996,0
android/views-widgets-samples,2019-09-06T21:39:12Z,4993,2
meefik/linuxdeploy,2012-08-21T04:49:14Z,4992,0
rubensousa/GravitySnapHelper,2016-08-31T07:25:23Z,4987,0
